Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Magnetovision_2D_256_2\Project Outputs for Magnetovision_2D_256_2\Pick Place\Pick Place for Mag256_9mm.csv

========================================================================================================================
File Design Information:

Date:       10/01/25
Time:       10:15
Revision:   cd8550b4dba492457a91c8a50a1b6ad8cbe399fa
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"U5_B7","ADG706BRUZ","BottomLayer","ADI-RU-28_M","101.1555mm","105.6043mm","90"
"U5_B6","ADG706BRUZ","BottomLayer","ADI-RU-28_M","65.1599mm","105.5731mm","90"
"U5_B5","ADG706BRUZ","BottomLayer","ADI-RU-28_M","29.1824mm","105.6280mm","90"
"U5_B4","ADG706BRUZ","BottomLayer","ADI-RU-28_M","137.1994mm","141.6081mm","90"
"U5_B3","ADG706BRUZ","BottomLayer","ADI-RU-28_M","101.2241mm","141.6275mm","90"
"U5_B2","ADG706BRUZ","BottomLayer","ADI-RU-28_M","65.2051mm","141.6256mm","90"
"U5_B1","ADG706BRUZ","BottomLayer","ADI-RU-28_M","29.1764mm","141.6080mm","90"
"U3","TXV0108QWRGYRQ1","TopLayer","TXV0108QWRGYRQ1","160.5756mm","80.8618mm","180"
"U2","TXV0108QWRGYRQ1","TopLayer","TXV0108QWRGYRQ1","175.3006mm","82.3118mm","0"
"U1","TXV0108QWRGYRQ1","TopLayer","TXV0108QWRGYRQ1","160.5256mm","88.8868mm","180"
"R18_F22","33R","TopLayer","RES_0603","165.1000mm","48.5000mm","180"
"R18_F21","33R","TopLayer","RES_0603","165.1561mm","122.4187mm","180"
"R18_F12","33R","TopLayer","RES_0603","165.1000mm","61.7500mm","180"
"R18_F11","33R","TopLayer","RES_0603","165.1561mm","135.6687mm","180"
"R17_F22","33R","TopLayer","RES_0603","165.1000mm","46.5000mm","180"
"R17_F21","33R","TopLayer","RES_0603","165.1561mm","120.4187mm","180"
"R17_F12","33R","TopLayer","RES_0603","165.1000mm","59.7500mm","180"
"R17_F11","33R","TopLayer","RES_0603","165.1561mm","133.6687mm","180"
"R16_F22","33R","TopLayer","RES_0603","165.1000mm","42.5000mm","180"
"R16_F21","33R","TopLayer","RES_0603","165.1561mm","116.4187mm","180"
"R16_F12","33R","TopLayer","RES_0603","165.1000mm","55.7500mm","180"
"R16_F11","33R","TopLayer","RES_0603","165.1561mm","129.6687mm","180"
"R15_F22","33R","TopLayer","RES_0603","165.1000mm","44.5000mm","180"
"R15_F21","33R","TopLayer","RES_0603","165.1561mm","118.4187mm","180"
"R15_F12","33R","TopLayer","RES_0603","165.1000mm","57.7500mm","180"
"R15_F11","33R","TopLayer","RES_0603","165.1561mm","131.6687mm","180"
"R14_F116","5k","BottomLayer","RES_0603","147.5241mm","30.4837mm","180"
"R14_F115","5k","BottomLayer","RES_0603","111.5107mm","30.4990mm","180"
"R14_F114","5k","BottomLayer","RES_0603","75.5117mm","30.4907mm","180"
"R14_F113","5k","BottomLayer","RES_0603","39.5050mm","30.5211mm","180"
"R14_F112","5k","BottomLayer","RES_0603","147.4860mm","66.5005mm","180"
"R14_F111","5k","BottomLayer","RES_0603","111.5053mm","66.5066mm","180"
"R14_F110","5k","BottomLayer","RES_0603","75.4740mm","66.4770mm","180"
"R14_F19","5k","BottomLayer","RES_0603","39.4731mm","66.5201mm","180"
"R14_F18","5k","BottomLayer","RES_0603","147.4916mm","102.5010mm","180"
"R14_F17","5k","BottomLayer","RES_0603","111.4791mm","102.4964mm","180"
"R14_F16","5k","BottomLayer","RES_0603","75.4834mm","102.4651mm","180"
"R14_F15","5k","BottomLayer","RES_0603","39.5060mm","102.5200mm","180"
"R14_F14","5k","BottomLayer","RES_0603","147.5230mm","138.5001mm","180"
"R14_F13","5k","BottomLayer","RES_0603","111.5477mm","138.5195mm","180"
"R14_F12","5k","BottomLayer","RES_0603","75.5287mm","138.5176mm","180"
"R14_F11","5k","BottomLayer","RES_0603","39.5000mm","138.5000mm","180"
"R13_F116","2.21k","BottomLayer","RES_0603","144.2741mm","30.4837mm","180"
"R13_F115","2.21k","BottomLayer","RES_0603","108.2607mm","30.4990mm","180"
"R13_F114","2.21k","BottomLayer","RES_0603","72.2617mm","30.4907mm","180"
"R13_F113","2.21k","BottomLayer","RES_0603","36.2550mm","30.5211mm","180"
"R13_F112","2.21k","BottomLayer","RES_0603","144.2360mm","66.5005mm","180"
"R13_F111","2.21k","BottomLayer","RES_0603","108.2553mm","66.5066mm","180"
"R13_F110","2.21k","BottomLayer","RES_0603","72.2240mm","66.4770mm","180"
"R13_F19","2.21k","BottomLayer","RES_0603","36.2231mm","66.5201mm","180"
"R13_F18","2.21k","BottomLayer","RES_0603","144.2416mm","102.5010mm","180"
"R13_F17","2.21k","BottomLayer","RES_0603","108.2291mm","102.4964mm","180"
"R13_F16","2.21k","BottomLayer","RES_0603","72.2334mm","102.4651mm","180"
"R13_F15","2.21k","BottomLayer","RES_0603","36.2560mm","102.5200mm","180"
"R13_F14","2.21k","BottomLayer","RES_0603","144.2730mm","138.5001mm","180"
"R13_F13","2.21k","BottomLayer","RES_0603","108.2977mm","138.5195mm","180"
"R13_F12","2.21k","BottomLayer","RES_0603","72.2787mm","138.5176mm","180"
"R13_F11","2.21k","BottomLayer","RES_0603","36.2500mm","138.5000mm","180"
"R4_ADC2","100R","TopLayer","RES_0603","172.3500mm","47.2500mm","90"
"R4_ADC1","100R","TopLayer","RES_0603","172.4061mm","121.1687mm","90"
"R3_ADC2","100R","TopLayer","RES_0603","172.3500mm","58.2500mm","90"
"R3_ADC1","100R","TopLayer","RES_0603","172.4061mm","132.1687mm","90"
"R2_ADC2","100R","TopLayer","RES_0603","174.3500mm","47.2500mm","90"
"R2_ADC1","100R","TopLayer","RES_0603","174.4061mm","121.1687mm","90"
"R1_ADC2","100R","TopLayer","RES_0603","174.3500mm","58.2500mm","90"
"R1_ADC1","100R","TopLayer","RES_0603","174.4061mm","132.1687mm","90"
"R12","11.8k","BottomLayer","RES_0603","164.9163mm","24.1671mm","90"
"R11","3.74k 1%","BottomLayer","RES_0603","166.9163mm","24.1671mm","90"
"R10","1k","TopLayer","RES_0603","162.0000mm","152.9750mm","270"
"R9","11.8k 1%","BottomLayer","RES_0603","166.9041mm","27.4650mm","90"
"R8","33R","TopLayer","RES_0603","154.8819mm","77.4838mm","90"
"R7","33R","TopLayer","RES_0603","156.7500mm","76.7500mm","90"
"R6","33R","TopLayer","RES_0603","154.8819mm","85.6917mm","90"
"R5","33R","TopLayer","RES_0603","156.7313mm","84.9396mm","90"
"MP1_ADC2","3670250","TopLayer","3670250","166.3000mm","52.0250mm","90"
"MP1_ADC1","3670250","TopLayer","3670250","166.3760mm","125.9471mm","90"
"MAG16_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2741mm","28.2337mm","0"
"MAG16_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2607mm","28.2490mm","0"
"MAG16_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2617mm","28.2407mm","0"
"MAG16_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2550mm","28.2711mm","0"
"MAG16_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2360mm","64.2505mm","0"
"MAG16_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2553mm","64.2566mm","0"
"MAG16_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2240mm","64.2270mm","0"
"MAG16_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2231mm","64.2701mm","0"
"MAG16_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2416mm","100.2510mm","0"
"MAG16_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2291mm","100.2464mm","0"
"MAG16_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2334mm","100.2151mm","0"
"MAG16_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2560mm","100.2700mm","0"
"MAG16_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2730mm","136.2501mm","0"
"MAG16_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2977mm","136.2695mm","0"
"MAG16_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2787mm","136.2676mm","0"
"MAG16_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2500mm","136.2500mm","0"
"MAG15_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2741mm","28.2337mm","0"
"MAG15_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2607mm","28.2490mm","0"
"MAG15_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2617mm","28.2407mm","0"
"MAG15_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2550mm","28.2711mm","0"
"MAG15_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2360mm","64.2505mm","0"
"MAG15_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2553mm","64.2566mm","0"
"MAG15_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2240mm","64.2270mm","0"
"MAG15_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2231mm","64.2701mm","0"
"MAG15_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2416mm","100.2510mm","0"
"MAG15_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2291mm","100.2464mm","0"
"MAG15_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2334mm","100.2151mm","0"
"MAG15_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2560mm","100.2700mm","0"
"MAG15_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2730mm","136.2501mm","0"
"MAG15_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2977mm","136.2695mm","0"
"MAG15_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2787mm","136.2676mm","0"
"MAG15_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2500mm","136.2500mm","0"
"MAG14_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2741mm","19.2337mm","0"
"MAG14_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2607mm","19.2490mm","0"
"MAG14_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2617mm","19.2407mm","0"
"MAG14_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2550mm","19.2711mm","0"
"MAG14_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2360mm","55.2505mm","0"
"MAG14_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2553mm","55.2566mm","0"
"MAG14_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2240mm","55.2270mm","0"
"MAG14_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2231mm","55.2701mm","0"
"MAG14_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2416mm","91.2510mm","0"
"MAG14_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2291mm","91.2464mm","0"
"MAG14_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2334mm","91.2151mm","0"
"MAG14_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2560mm","91.2700mm","0"
"MAG14_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2730mm","127.2501mm","0"
"MAG14_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2977mm","127.2695mm","0"
"MAG14_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2787mm","127.2676mm","0"
"MAG14_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2500mm","127.2500mm","0"
"MAG13_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2741mm","19.2337mm","0"
"MAG13_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2607mm","19.2490mm","0"
"MAG13_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2617mm","19.2407mm","0"
"MAG13_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2550mm","19.2711mm","0"
"MAG13_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2360mm","55.2505mm","0"
"MAG13_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2553mm","55.2566mm","0"
"MAG13_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2240mm","55.2270mm","0"
"MAG13_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2231mm","55.2701mm","0"
"MAG13_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2416mm","91.2510mm","0"
"MAG13_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2291mm","91.2464mm","0"
"MAG13_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2334mm","91.2151mm","0"
"MAG13_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2560mm","91.2700mm","0"
"MAG13_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2730mm","127.2501mm","0"
"MAG13_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2977mm","127.2695mm","0"
"MAG13_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2787mm","127.2676mm","0"
"MAG13_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2500mm","127.2500mm","0"
"MAG12_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2741mm","19.2337mm","0"
"MAG12_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2607mm","19.2490mm","0"
"MAG12_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2617mm","19.2407mm","0"
"MAG12_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2550mm","19.2711mm","0"
"MAG12_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2360mm","55.2505mm","0"
"MAG12_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2553mm","55.2566mm","0"
"MAG12_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2240mm","55.2270mm","0"
"MAG12_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2231mm","55.2701mm","0"
"MAG12_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2416mm","91.2510mm","0"
"MAG12_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2291mm","91.2464mm","0"
"MAG12_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2334mm","91.2151mm","0"
"MAG12_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2560mm","91.2700mm","0"
"MAG12_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2730mm","127.2501mm","0"
"MAG12_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2977mm","127.2695mm","0"
"MAG12_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2787mm","127.2676mm","0"
"MAG12_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2500mm","127.2500mm","0"
"MAG11_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2741mm","19.2337mm","0"
"MAG11_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2607mm","19.2490mm","0"
"MAG11_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2617mm","19.2407mm","0"
"MAG11_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2550mm","19.2711mm","0"
"MAG11_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2360mm","55.2505mm","0"
"MAG11_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2553mm","55.2566mm","0"
"MAG11_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2240mm","55.2270mm","0"
"MAG11_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2231mm","55.2701mm","0"
"MAG11_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2416mm","91.2510mm","0"
"MAG11_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2291mm","91.2464mm","0"
"MAG11_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2334mm","91.2151mm","0"
"MAG11_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2560mm","91.2700mm","0"
"MAG11_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2730mm","127.2501mm","0"
"MAG11_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2977mm","127.2695mm","0"
"MAG11_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2787mm","127.2676mm","0"
"MAG11_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2500mm","127.2500mm","0"
"MAG10_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2741mm","28.2337mm","0"
"MAG10_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2607mm","28.2490mm","0"
"MAG10_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2617mm","28.2407mm","0"
"MAG10_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2550mm","28.2711mm","0"
"MAG10_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2360mm","64.2505mm","0"
"MAG10_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2553mm","64.2566mm","0"
"MAG10_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2240mm","64.2270mm","0"
"MAG10_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2231mm","64.2701mm","0"
"MAG10_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2416mm","100.2510mm","0"
"MAG10_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2291mm","100.2464mm","0"
"MAG10_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2334mm","100.2151mm","0"
"MAG10_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2560mm","100.2700mm","0"
"MAG10_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2730mm","136.2501mm","0"
"MAG10_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2977mm","136.2695mm","0"
"MAG10_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2787mm","136.2676mm","0"
"MAG10_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2500mm","136.2500mm","0"
"MAG9_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2741mm","28.2337mm","0"
"MAG9_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2607mm","28.2490mm","0"
"MAG9_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2617mm","28.2407mm","0"
"MAG9_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2550mm","28.2711mm","0"
"MAG9_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2360mm","64.2505mm","0"
"MAG9_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2553mm","64.2566mm","0"
"MAG9_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2240mm","64.2270mm","0"
"MAG9_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2231mm","64.2701mm","0"
"MAG9_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2416mm","100.2510mm","0"
"MAG9_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2291mm","100.2464mm","0"
"MAG9_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2334mm","100.2151mm","0"
"MAG9_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2560mm","100.2700mm","0"
"MAG9_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2730mm","136.2501mm","0"
"MAG9_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2977mm","136.2695mm","0"
"MAG9_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2787mm","136.2676mm","0"
"MAG9_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2500mm","136.2500mm","0"
"MAG8_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2741mm","37.2337mm","0"
"MAG8_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2607mm","37.2490mm","0"
"MAG8_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2617mm","37.2407mm","0"
"MAG8_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2550mm","37.2711mm","0"
"MAG8_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2360mm","73.2505mm","0"
"MAG8_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2553mm","73.2566mm","0"
"MAG8_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2240mm","73.2270mm","0"
"MAG8_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2231mm","73.2701mm","0"
"MAG8_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2416mm","109.2510mm","0"
"MAG8_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2291mm","109.2464mm","0"
"MAG8_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2334mm","109.2151mm","0"
"MAG8_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2560mm","109.2700mm","0"
"MAG8_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2730mm","145.2501mm","0"
"MAG8_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2977mm","145.2695mm","0"
"MAG8_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2787mm","145.2676mm","0"
"MAG8_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2500mm","145.2500mm","0"
"MAG7_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2741mm","37.2337mm","0"
"MAG7_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2607mm","37.2490mm","0"
"MAG7_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2617mm","37.2407mm","0"
"MAG7_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2550mm","37.2711mm","0"
"MAG7_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2360mm","73.2505mm","0"
"MAG7_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2553mm","73.2566mm","0"
"MAG7_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2240mm","73.2270mm","0"
"MAG7_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2231mm","73.2701mm","0"
"MAG7_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2416mm","109.2510mm","0"
"MAG7_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2291mm","109.2464mm","0"
"MAG7_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2334mm","109.2151mm","0"
"MAG7_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2560mm","109.2700mm","0"
"MAG7_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2730mm","145.2501mm","0"
"MAG7_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2977mm","145.2695mm","0"
"MAG7_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2787mm","145.2676mm","0"
"MAG7_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2500mm","145.2500mm","0"
"MAG6_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2741mm","46.2337mm","0"
"MAG6_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2607mm","46.2490mm","0"
"MAG6_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2617mm","46.2407mm","0"
"MAG6_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2550mm","46.2711mm","0"
"MAG6_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2360mm","82.2505mm","0"
"MAG6_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2553mm","82.2566mm","0"
"MAG6_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2240mm","82.2270mm","0"
